ID,Name
57285646800,Zhu F.
58827616000,Ding J.
55874533600,Li X.
57445720300,Lu Y.
58825580400,Liu X.
58826094500,Jiang F.
56430209300,Zhao Q.
58828644200,Su H.
57204698746,Shuai J.
57216127417,Ye D.
58790917800,Xu B.
57401765300,Wei B.
57219230079,Zheng L.
57216986834,Wu Y.J.
56724845900,Hu Z.
57063199300,Krisnanda T.
55972469700,Fieramosca A.
57193491126,Zhao J.
57815404400,Sun Q.
57207300435,Chen Y.
58441614400,Liu H.
57485056100,Luo Y.
57190298197,Su R.
57192873327,Wang J.
55704890400,Watanabe K.
55252500400,Taniguchi T.
14028212700,Eda G.
55950791700,Wang X.R.
57216311270,Ghosh S.
57170400300,Dini K.
9741880700,Sanvitto D.
26537649900,Liew T.C.H.
58892556000,Xiong Q.
57202215798,Yang H.
7003511606,Jing M.
57196330840,Wang L.
55868928500,Xu H.
58895659800,Yan X.
8934002500,He X.
57223368104,Gao Z.
56959654300,Zhao C.
57194799157,Zhou K.
57220640047,Wu J.
58896304800,Tian Y.
57223356789,Deng X.
57204856640,Zhang L.
58895874800,Lin K.
56962751400,Kang F.
51261347400,Peng L.
57203612365,Wagemaker M.
35558856100,Li B.
57410400900,Huang L.
57210824515,He L.
57102131400,Zhang W.
57215614334,Zhang H.
57222757650,Liu D.
57223941540,Feng X.
58848473700,Liu F.
24476543700,Cui K.
35187093200,Huang Y.
58605233800,Zhang W.
57194007511,Zhang X.
58084154000,Feng C.
57700643800,Wu H.
58083994800,Qi Z.
58083917700,Wei Y.
56739579600,Yang B.
58083994900,Yin H.
58854462400,Yan S.
58083598400,Wang L.
58855202400,Yu Y.
58854090700,Xie J.
58854090800,Xing X.
58854275700,Tu S.
57216934090,Zhang H.
55601182600,Guo X.
58856593400,Du J.
58170234500,Yang Y.
58857054100,Wu M.
58857357100,Ou W.
58562651900,Han X.
58857209600,Wang Z.
58856901000,Jin J.
57202449748,Zhang P.
56136516500,Zhang Z.
58856901100,Chen G.
58856743200,Long M.
58856901200,Yin G.
23568158200,Liu T.
58857209700,Wang X.
58856445300,Li D.
58856743300,Chen M.
7403390726,Dong Y.
58857357200,Lai C.
57197744798,Zhang X.
58856445400,Yi Y.
58856445500,Xiang J.
57191584761,Chen C.
56628234100,Unverdorben M.
39161847400,Ma C.
58857507800,Yin Y.
58857054200,Qi H.
58856901300,Jia Z.
58856445600,Ji X.
58857209800,Zhang Y.
58856743400,Liang X.
58856901400,Deng B.
58857357300,Liu J.
58856445700,Ma J.
58856593500,Song C.
58857507900,Feng H.
57210287508,Luo S.
58856901500,Wang J.
58856593600,Li L.
58857054300,Xiao Y.
58857357400,Cui J.
9043569500,Cheng X.
58857209900,Huang Z.
58857210000,Wei J.
58857054400,Cheng J.
58857357500,Li H.
58857357600,Zhang J.
58857210100,Jiang W.
58856901600,Liu J.
58856743500,Min X.
58856445800,Gao P.
58857210200,Gao L.
58857508000,Huang Z.
58836337200,Wang R.
58856445900,Li Y.
58856593700,Ye Z.
58857054500,Wang X.
58857357700,Lai H.
57875738000,Wang L.
58857357800,Zhang M.
58857054600,Wang C.
58857508100,Mao W.
58857210300,Chen X.
57209050218,Wang Z.
58832836200,Liu F.
58856901700,Xie X.
58857054700,Xu Z.
58857508200,Dong B.
58856446000,Zeng H.
58856901800,Peng J.
58856901900,Zhang L.
58856446100,Zhao Q.
58856902000,Liu F.
58856902100,Guo C.
58857508300,Tang L.
58410441000,Li X.
58385738300,Zhou J.
57191642054,Yang X.
58857357900,Chen X.
58856446200,Liu Y.
58856743600,Tong T.
58856902200,Tang G.
58856743700,Liu J.
58857054800,Lin M.
58856446300,Liu B.
57369286000,Fu G.
58857210400,Wang W.
58856593800,Yang Q.
14069483400,Tang B.
58856446400,Ran B.
58856446500,Xu J.
58857508400,Yin C.
58857054900,Yang P.
58856593900,Yang F.
58857358000,Bai M.
58857358100,Zhang J.
57224412431,Li Z.
57194201520,Wang C.
57192561333,Liu Y.
57222055024,Wang J.
58871491600,Yang K.
58150678000,Chen G.
58870471100,Yu F.
54976474600,Fang X.
9742691700,Zhang J.
55721921600,Zhang Z.
7404964663,Shi Y.
56732308200,Zhang L.
57699270100,Zhang X.
58854259800,Tang Y.
56575734200,Yang D.
55682299600,Geng T.
57217490911,Harrison A.G.
57427490000,Cahoon J.G.
58848191700,Xing J.
58849595100,Jiao B.
58849363600,Wang M.
58849832900,Cheng C.
58849833000,Hill R.E.
58848655500,Wang H.
58849833100,Vella A.T.
58849130300,Cheng G.
58849363700,Wang Y.
23483045700,Wang P.
57193257328,Wang P.
58887699300,Wen X.
58870461100,Li H.
57221351050,Lang P.
57216081349,Li S.
57222304534,Lei Y.
57216396010,Shu H.
58887558200,Gao L.
56673231400,Zhao D.
33468010200,Zeng J.
56340952500,Wang F.
57221242292,Zhang G.
58480711500,Xu T.
57607838200,Ma J.
57608904100,Wang J.
57495453200,Liu S.
56680386400,Tang Y.
56081325500,Jin S.
56312730900,Li J.
14824413300,Xing N.
57198770540,Liu P.-Y.
56959593700,Zhang B.
57215822577,Niu R.
58838383600,Lu S.-L.
58772369800,Huang C.
8628797300,Wang M.
55613003000,Tian F.
58838128200,Mao Y.
58759757500,Li T.
55531077200,Burr P.A.
57928511000,Lu H.
58457382600,Guo A.
56016493200,Yen H.-W.
7005271681,Cairney J.M.
57188745139,Chen H.
57193629810,Chen Y.-S.
57205508030,Yang K.
57216511622,Wang Y.
57327929900,Tiw P.J.
57219662274,Wang C.
58908915100,Zou X.
57209332199,Yuan R.
58605643800,Liu C.
57200371667,Li G.
58909221000,Ge C.
58909221100,Wu S.
57190372765,Zhang T.
58834869400,Huang R.
16220981700,Yang Y.
57210246984,Wang B.
57338711900,Wang M.
58310752900,Fan Z.
58906736800,Ma C.
56450285200,Xi S.
58906214000,Chang L.
58906736900,Zhang M.
58511882100,Ling N.
58512611400,Mi Z.
57208922345,Chen S.
56037704900,Leow W.R.
57200617256,Zhang J.
55713255700,Wang D.
56685212800,Lum Y.
57221921072,Yang L.
58894662800,Zou L.
58894462600,Liang T.
57682934100,Han F.
58134198000,Liu Z.
57929530400,Wang C.
57449377400,Wei H.
58870430100,Wang B.
58838865300,Han B.
57193932029,Wu J.
57208184989,Wei Q.
58838609000,Liu F.
58837351100,Cui L.
57206301769,Rueppell O.
55795610600,Xu S.
58857324300,Tao X.
57211966119,Yang Z.
57202287712,Feng J.
57190135145,Jian S.
12799790200,Yang Y.
57217073345,Bates C.T.
55738599100,Wang G.
54882599300,Guo X.
57190093348,Ning D.
54912094800,Kempher M.L.
55878612400,Liu X.J.A.
58879240900,Ouyang Y.
57192366246,Han S.
55503519900,Wu L.
57220178083,Zeng Y.
36544024100,Kuang J.
58611097200,Zhang Y.
57198477366,Zhou X.
56027833200,Shi Z.
58879241000,Qin W.
35273581500,Wang J.
58879397000,Firestone M.K.
57219896604,Tiedje J.M.
35235999300,Zhou J.
58296394800,Zhang Z.
57848060400,Li H.
55868927400,Shao Y.
57210810612,Gan L.
7102917741,Duan W.
24316829300,Hansen H.A.
55983812400,Li J.
57207120749,Wang Z.
58734322900,Dong X.
57734321100,Li X.-F.
57195549910,Feng Y.
58838408700,Li S.
36159753900,Tang W.
56430045300,Wang Z.L.
57220920203,Yan X.
57999404000,Au S.C.Y.
57999404100,Chan S.C.
58000281300,Chan Y.L.
57999848300,Leung N.C.
58000281400,Wu W.Y.
57226356981,Sin D.T.
57201947856,Zhao G.
57211069924,Chung C.H.Y.
58831087900,Mei M.
57209286743,Yang Y.
55633099800,Qiu H.
38562572400,Yao S.
58899429800,Hu X.
57225365111,Suo J.
58154430800,Kou N.
58899561200,Wu M.
58899172000,Wang S.
58858727700,Jiang P.
58858135700,Zhang L.
58858727800,Liu X.
56647432000,Ye C.
58858533900,Zhu P.
57225922811,Tan T.
36180472900,Wang Y.
55712216100,Liu Q.
57562221500,Sun J.
58805942500,Zhang Y.
55717309800,Liu X.
57481804700,Yang F.
57218326495,Zhao Z.
57482278200,Zhang D.
58906034800,Xiong Y.
54410436900,Dong X.
58906558400,Wang Y.
58730882700,Yang M.
57219713620,Pan T.
57204714203,Liu C.
57219835049,Liu K.
37052507100,Lin Y.
57215863284,Liu Y.
49762300500,Tu Q.
